Название вакансии,Компания,Зарплата,Ссылка
"Программист-разработчик по нейросетям, обработка данных, сбор датасета",UFATECH,45 000 – 60 000 ₽ на руки,https://ufa.hh.ru/vacancy/103700665?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Стажер-программист 1С,Группа Компаний Inspectrum Clinic,Не указана,https://ufa.hh.ru/vacancy/104364907?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Web-разработчик/Веб-программист,SIMAI,40 500 – 100 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/97237663?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ГАУ ДПО Институт развития образования Республики Башкортостан,36 000 – 36 000 ₽ на руки,https://ufa.hh.ru/vacancy/104469378?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,SL Soft,Не указана,https://ufa.hh.ru/vacancy/103723035?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик 1С Junior,"Софт-Сервис, Группа Компаний",от 50 000 ₽ на руки,https://ufa.hh.ru/vacancy/103276368?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ООО Лексема,от 30 000 ₽ на руки,https://ufa.hh.ru/vacancy/103986249?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ГБУЗ Республиканская клиническая больница им. Г.Г. Куватова,Не указана,https://ufa.hh.ru/vacancy/99106496?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик десктопных приложений/Программист С#,ООО ОйлГИС,Не указана,https://ufa.hh.ru/vacancy/103989863?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ООО ДИ РоботикС,90 000 – 120 000 ₽ на руки,https://ufa.hh.ru/vacancy/102819279?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ГБУЗ РБ Детская поликлиника № 4 г. Уфа,от 30 000 ₽ на руки,https://ufa.hh.ru/vacancy/101220078?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист - верстальщик,ООО Планета,80 000 – 120 000 ₽ на руки,https://ufa.hh.ru/vacancy/104268061?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист (разработчик),Газпром трансгаз Уфа,60 000 – 75 000 ₽ на руки,https://ufa.hh.ru/vacancy/103907330?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Начинающий программист 1С,ООО Облако 365,от 40 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/103732248?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ООО НИИСТИС,от 60 000 ₽ на руки,https://ufa.hh.ru/vacancy/99152368?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С++,Тензор,140 000 – 230 000 ₽ до вычета налогов,https://ufa.hh.ru/vacancy/103875827?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,"ООО ИК ""Сибинтек""",Не указана,https://ufa.hh.ru/vacancy/103650092?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
